PRODUCTOS,Semana01,Semana02,Semana03,Semana04,Semana05,Semana06,Semana07,Semana08,Semana09,Semana10,Semana11,Semana12,Semana13,Semana14,Semana15,Semana16,Semana17,Semana18,Semana19,Semana20,Semana21,Semana22,Semana23,Semana24,Semana25,Semana26,Semana27,Semana28,Semana29,Semana30,Semana31,Semana32,Semana33,Semana34,Semana35,Semana36,Semana37,Semana38,Semana39,Semana40,Semana41,Semana42,Semana43,Semana44,Semana45,Semana46,Semana47,Semana48,Semana49,Semana50,Semana51,Semana52,Semana53
Clementina  (€/100 kg),35.85,38.40,40.53,40.87,39.03,45.76,61.50,61.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.54,38.02,34.98,39.22,37.65,37.86,39.89,42.20,42.98,40.35,38.74,36.51,33.39,31.24,27.31,24.80,24.25,22.73,21.53,20.09,19.20,19.31
Limón  (€/100 kg),41.22,40.04,41.10,41.31,41.31,40.06,39.74,40.36,39.51,38.71,38.49,40.03,44.11,47.73,51.04,56.48,67.12,69.27,75.33,73.67,69.64,65.97,60.77,52.58,48.73,44.14,42.20,31.25,31.25,31.25,23.75,24.25,23.75,25.00,22.50,22.50,22.50,52.89,52.06,48.50,47.27,44.23,41.74,34.13,33.89,34.64,29.62,26.07,25.00,23.88,22.34,21.02,19.06
Naranja  (€/100 kg),24.30,24.62,25.68,25.77,26.98,30.33,30.69,28.81,28.21,27.81,28.49,29.82,31.89,36.07,47.63,51.06,55.51,58.60,61.80,64.65,67.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,255.00,282.50,227.50,270.50,246.32,240.79,243.73,239.89,249.48,242.98,243.90,240.74,249.97,251.34,243.77,244.83,251.97,258.12,249.26,241.61,233.55,0.00
Aguacate (€/100 kg),215.70,217.71,216.94,219.54,239.45,242.69,239.61,231.68,228.30,225.21,222.09,219.12,223.94,226.39,223.95,219.58,221.02,230.03,219.40,200.94,215.69,214.00,217.06,217.99,231.71,244.11,266.76,214.67,247.21,286.20,315.40,364.09,333.26,305.25,326.06,337.75,313.98,328.41,280.07,257.40,236.22,231.33,219.26,199.57,186.61,182.14,171.21,172.87,175.09,179.34,178.31,188.89,190.73
Manzana Golden (€/100 kg),39.78,37.54,37.81,37.68,39.18,38.86,38.57,38.70,38.67,37.82,36.96,36.96,36.96,36.88,36.88,36.88,36.88,38.76,41.54,45.55,49.51,52.35,53.66,62.20,61.92,55.66,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.59,57.93,52.58,49.90,49.05,50.65,52.60,55.16,55.15,54.52,54.49,53.78,54.97,58.53,56.68,58.14,56.72,57.78,57.78,57.36
Pera Blanquilla  (€/100kg),62.01,62.01,66.02,66.02,66.02,65.84,66.84,66.84,67.34,67.16,67.16,67.16,68.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.34,54.27,50.00,55.34,55.06,52.54,53.07,52.87,51.34,52.36,54.03,53.75,53.75,53.10,53.10,53.10,53.10,50.80,50.80,50.80,50.80,0.00
Plátano (€/100 kg),33.57,28.71,28.76,28.53,28.95,19.60,17.40,17.18,15.85,14.97,15.30,13.87,16.11,15.17,15.44,20.00,21.90,21.81,22.41,23.14,22.32,35.34,30.53,31.70,32.85,33.75,33.55,32.32,41.13,51.88,56.40,56.63,56.29,57.00,56.03,55.66,60.66,69.41,75.52,81.43,95.80,96.09,96.71,97.93,98.03,88.49,81.02,51.37,31.52,32.39,34.40,32.08,31.79
Acelga (€/100kg),48.84,49.57,58.14,65.10,65.75,61.35,60.84,52.51,53.02,54.29,53.48,54.90,53.84,55.77,58.16,61.08,59.54,59.75,57.20,59.15,54.83,57.47,61.96,68.05,67.10,64.48,69.33,69.47,50.66,74.83,70.92,65.84,74.87,74.92,74.88,66.84,59.65,51.85,52.39,53.74,60.08,65.27,65.35,61.48,61.00,58.04,56.02,54.19,57.10,55.34,56.48,56.17,56.58
Alcachofa (€/100kg),93.87,102.74,131.46,131.47,98.41,77.36,67.01,58.21,59.65,55.88,54.35,53.29,50.50,51.99,50.61,62.22,63.46,56.01,59.64,63.91,69.91,69.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.25,64.20,64.20,64.10,64.20,64.50,150.00,150.00,168.52,163.20,152.70,141.58,152.95,160.80,148.67,117.83,116.65
Berenjena (€/100 kg),35.61,86.66,116.38,119.88,112.77,69.16,35.87,29.66,24.81,29.77,32.02,50.09,44.75,47.25,37.04,34.18,32.78,37.56,41.27,54.93,41.10,19.78,21.38,24.00,30.70,28.76,29.28,31.60,32.52,43.45,44.81,51.84,53.68,64.07,64.17,71.02,63.25,70.62,55.69,33.67,67.25,67.42,44.80,33.71,27.97,23.60,18.91,33.91,44.39,79.66,64.83,59.66,67.27
Calabacín (€/100 kg),43.06,86.42,112.87,134.38,87.90,33.86,33.28,22.35,24.55,22.89,33.85,85.84,99.83,96.18,74.77,40.43,31.34,29.66,18.10,24.64,21.15,25.24,28.47,26.02,30.01,20.60,25.54,31.26,30.24,33.38,32.86,35.00,32.87,35.60,36.62,55.86,88.61,57.79,47.17,58.81,95.90,126.64,134.79,97.96,58.95,26.17,21.84,36.35,33.45,27.13,22.66,25.36,49.17
Cebolla (€/100 kg),10.49,11.69,10.85,9.40,9.25,9.16,9.08,8.67,8.67,10.26,11.39,11.73,14.71,18.03,21.93,23.12,26.59,21.51,16.04,14.99,14.08,13.47,12.06,14.11,15.12,15.24,14.15,12.98,11.36,11.38,11.23,11.18,11.82,10.86,11.49,11.03,11.05,13.04,15.05,18.03,16.53,16.57,16.91,16.96,18.09,17.11,16.93,16.32,16.76,16.64,16.58,16.55,16.76
Champiñón (€/100kg),173.14,173.16,173.46,173.65,173.77,171.24,171.18,171.34,171.45,171.19,171.19,171.58,171.58,169.06,168.32,170.47,165.08,159.39,158.56,159.90,160.75,178.02,167.98,157.17,146.98,136.94,138.31,133.94,136.35,136.44,137.23,134.20,133.66,135.33,135.29,140.70,147.59,154.33,152.71,155.38,157.00,154.00,156.57,155.70,152.99,153.95,153.10,160.79,166.49,167.54,170.17,171.96,169.78
Coliflor (€/100kg),24.30,24.62,25.68,25.77,26.98,30.33,30.69,28.81,28.21,27.81,28.49,29.82,31.89,36.07,47.63,51.06,55.51,58.60,61.80,64.65,67.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,255.00,282.50,227.50,270.50,292.15,286.62,285.40,287.81,301.21,300.40,305.27,300.41,306.72,306.49,289.62,283.71,289.05,293.61,288.14,283.23,273.59,0.00
Col-repollo (€/100kg),31.04,32.18,33.35,32.87,31.17,31.24,32.17,32.21,32.00,30.27,30.06,29.22,30.72,32.74,34.70,34.79,36.67,37.54,35.38,31.13,26.00,26.38,25.03,23.91,22.70,18.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.12,29.97,29.98,29.87,28.21,28.23,27.74,28.58,28.23,30.24,30.73,30.50,34.16,32.67,31.25,31.59,29.68,29.31
Escarola (€/100 kg),47.36,46.90,45.72,45.32,46.21,33.72,33.73,32.07,30.95,27.68,27.43,27.46,28.58,33.10,35.79,42.66,38.08,32.09,35.32,40.16,45.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.61,35.96,33.59,34.67,32.59,35.64,35.18,35.24,32.74
Fresa (€/100 kg),363.00,234.00,292.00,258.00,246.00,243.00,220.00,145.00,133.00,116.50,118.00,104.50,94.00,81.00,78.00,84.00,86.00,100.60,101.98,98.19,99.54,97.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Haba verde (€/100 kg),116.90,127.09,164.00,178.51,162.54,144.71,119.00,99.93,107.34,107.18,101.65,76.57,75.67,89.96,85.91,72.57,67.23,63.86,68.67,72.85,62.29,63.39,74.21,85.22,97.30,99.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,189.00,146.00,116.50,116.50,121.25,151.39,141.78,153.94,146.36
Judía verde tipo plana (€/100 kg),173.74,178.67,203.57,196.28,192.40,180.62,181.03,177.18,187.54,199.96,0.00,181.14,197.15,192.34,170.02,171.87,152.29,142.02,138.29,142.43,157.14,169.45,162.59,155.80,165.09,154.59,155.30,149.82,151.40,169.33,171.64,161.28,163.60,163.55,159.76,170.47,186.54,175.63,183.01,174.21,158.60,162.61,166.15,161.74,147.84,144.29,132.31,148.56,168.27,179.86,175.08,170.95,175.56
Lechuga Romana (€/100 ud),26.89,27.43,29.02,30.81,30.18,37.21,29.48,22.21,19.68,19.25,26.66,27.45,27.55,27.09,27.49,27.64,28.00,24.81,25.25,24.56,23.42,24.33,26.00,28.04,27.07,28.21,29.00,26.06,24.80,25.35,25.40,23.71,21.80,20.19,19.52,28.25,24.93,23.54,22.76,23.04,22.59,21.71,22.88,23.10,0.00,0.00,21.83,20.72,20.01,20.48,19.84,20.30,19.25
Pepino (€/100 kg),44.66,47.99,85.53,88.08,66.68,48.60,45.38,46.98,43.52,46.30,38.61,31.49,17.50,21.19,21.96,17.28,18.94,27.72,29.32,27.03,43.34,33.02,45.40,33.55,34.88,23.95,28.67,44.38,47.73,44.75,44.53,42.05,41.58,51.30,72.50,75.43,78.29,55.40,0.00,0.00,0.00,64.58,67.28,56.34,0.00,0.00,0.00,29.98,38.01,57.31,49.03,36.33,33.92
Pimiento verde tipo italiano (€/100 kg),74.58,72.02,79.70,76.94,67.66,74.17,75.95,78.32,91.58,114.88,134.53,112.70,134.21,129.34,143.22,101.43,51.58,59.07,57.44,46.12,47.38,46.48,63.85,85.40,70.49,67.39,69.50,68.76,67.23,73.18,68.59,66.23,65.86,63.82,66.52,62.76,0.00,0.00,0.00,0.00,0.00,52.35,62.95,54.73,0.00,0.00,0.00,0.00,0.00,48.09,30.65,46.00,46.16
Puerro (€/100 kg),58.51,57.55,55.54,56.45,56.49,60.96,60.58,60.58,60.58,54.04,54.42,60.38,57.79,54.94,50.97,50.00,47.87,44.36,49.16,50.82,49.13,48.14,47.02,48.97,44.82,40.66,37.84,41.70,42.87,42.42,48.51,52.41,56.30,42.41,51.67,56.13,0.00,0.00,0.00,0.00,0.00,0.00,56.02,56.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tomate liso (€/100 kg),54.29,62.21,62.64,64.95,61.75,67.30,61.58,57.01,54.02,59.42,67.82,73.70,59.03,73.62,82.16,73.50,53.08,39.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.22,55.41,49.36,49.38,51.34,50.87,48.52,46.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Zanahoria (€/100 kg) ,19.00,19.00,19.00,19.00,19.00,19.00,19.00,21.67,19.13,20.93,22.77,26.73,31.83,33.33,33.34,32.89,32.29,27.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.57,22.14,20.63,20.63,21.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Patata (€/100 kg) ,18.00,18.65,20.52,20.78,21.06,21.86,22.62,22.75,22.98,25.14,28.42,33.39,40.99,49.19,57.90,55.60,52.15,49.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.73,22.78,22.38,20.05,23.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Espinaca (€/100 kg),0.00,101.34,100.94,107.92,103.79,90.62,91.09,88.47,88.87,83.69,78.61,72.98,70.59,76.54,82.47,96.24,102.75,98.85,118.62,134.27,104.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,145.41,143.77,135.99,114.46,112.80,114.98,110.95,97.34,100.86
Melocotón (€/100 kg),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,103.64,89.40,83.07,84.04,71.13,68.62,63.66,59.00,58.88,58.66,60.20,58.39,57.51,64.15,70.29,72.05,73.19,80.20,87.04,87.46,92.08,97.62,117.01,140.84,157.00,148.67,145.50,88.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ajo (€/100kg),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,194.57,188.98,179.57,177.65,165.05,161.41,162.82,164.91,146.55,128.44,121.57,121.57,118.85,117.83,123.76,129.30,131.65,132.91,132.91,146.53,150.78,157.96,165.13,165.13,164.95,164.95,155.61,155.61,155.61,155.61,155.61,155.61,155.61,155.61,155.61
Uva de mesa (€/100 kg),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,75.00,72.50,70.00,78.75,77.50,70.45,66.32,68.60,71.82,66.18,68.95,62.47,63.26,63.50,63.82,71.25,65.00,65.00,67.50,66.50,66.50,66.50,75.00,75.00,0.00,0.00,0.00,0.00
Satsuma (€/100 kg),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.10,25.08,24.54,24.70,24.54,22.99,23.50,23.64,23.40,24.02,24.52,22.41,22.36,25.89,30.23,36.00,0.00,0.00,0.00,0.00,0.00,0.00
Caqui (€/100 kg),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.50,26.50,26.50,27.50,26.00,29.50,29.50,29.50,29.50,28.50,26.00,27.76,27.61,29.41,30.36,31.71,36.42,36.44,49.25,55.00
Pera Conferencia (€/100 kg),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.30,64.75,65.75,64.35,64.35,62.25,63.52,62.77,62.47,62.47,64.93,66.28,67.56,67.56,67.72,68.35,68.35
Granada (€/100 kg),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.03,63.50,64.08,60.09,62.21,63.90,64.33,61.35,61.48,61.44,61.42,61.42,59.00,59.00,57.50,57.50,57.50
Brócoli (€/100 kg),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.00,47.50,46.50,38.00,44.93,42.99,39.76,36.92,34.54,39.51,35.88,37.58,46.91
Mandarina (€/100 kg),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.25,36.40,36.11,36.02,37.70,36.78,36.34,39.02,38.59
