,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,NOVIEMBRE 2020,,RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,NOVIEMBRE 2020,,RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,NOVIEMBRE 2020,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,
CULTIVOS,,,,DEFINIT.,PROVIS.,AVANCE,2020,,,DEFINIT.,PROVIS.,AVANCE,2020,CULTIVOS,,,,DEFINIT.,PROVIS.,AVANCE,2020,,,DEFINIT.,PROVIS.,AVANCE,2020,CULTIVOS,,,,PROVIS.,PROVIS.,AVANCE,2021,,,PROVIS.,PROVIS.,AVANCE,2021
,,,MES (1),2018,2019,2020,2019=100,,MES (1),2018,2019,2020,2019=100,,,,MES (1),2018,2019,2020,2019=100,,MES (1),2018,2019,2020,2019=100,,,,MES (1),2019,2020,2021,2020=100,,MES (*),2019,2020,2021,2020=100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEREALES,,,,,,,,,,,,,,HORTALIZAS,,,,,,,,,,,,,,CEREALES,,,,,,,,,,,,,
trigo blando,,,9,"1,686.9","1,651.8","1,658.2",100.4,,9,"6,703.2","5,094.6","7,120.2",139.8,habas verdes (8),,,6,6.0,6.5,6.2,95.7,,6,50.9,57.0,54.7,95.9,trigo blando,,,11,"1,651.8","1,658.2","1,688.0",101.8,,9,"5,094.6","7,120.2",,
trigo duro,,,9,374.6,266.6,251.3,94.2,,9,"1,282.5",704.1,819.3,116.4,endivias (9),,,8,24.1,19.1,38.3,200.5,,11,5.7,4.6,9.2,201.1,trigo duro,,,11,266.6,251.3,251.0,99.9,,9,704.1,819.3,,
trigo total,,,9,"2,061.5","1,918.4","1,909.5",99.5,,9,"7,985.7","5,798.7","7,939.5",136.9,escarolas,,,10,2.5,2.3,2.4,100.5,,3,70.3,64.7,66.1,102.2,trigo total,,,11,"1,918.4","1,909.5","1,938.8",101.5,,9,"5,798.7","7,939.5",,
cebada de seis carreras,,,9,336.7,267.1,286.3,107.2,,9,"1,020.7",612.4,996.4,162.7,espinacas,,,11,4.5,4.3,5.1,118.0,,10,81.5,79.2,85.7,108.2,cebada de seis carreras,,,11,267.1,286.3,280.3,97.9,,9,612.4,996.4,,
cebada de dos carreras,,,9,"2,232.8","2,426.4","2,477.4",102.1,,9,"8,108.9","6,787.5","9,964.2",146.8,champiñón (9),,,5,45.6,25.2,43.5,172.7,,6,149.8,151.8,148.4,97.8,avena,,,11,453.4,508.6,510.0,100.3,,9,808.3,"1,290.4",,
cebada total,,,9,"2,569.5","2,693.5","2,763.7",102.6,,9,"9,129.5","7,400.0","10,960.6",148.1,otras setas (9),,,5,9.4,5.0,9.3,185.6,,6,16.5,18.3,16.9,92.3,centeno,,,11,138.1,137.1,132.9,97.0,,9,251.3,388.5,,
avena,,,9,556.5,453.4,508.6,112.2,,9,"1,486.9",808.3,"1,290.4",159.6,brócoli,,,10,33.5,31.5,32.4,102.8,,11,543.1,531.9,544.5,102.4,triticale,,,11,250.8,257.6,262.1,101.7,,9,576.5,763.2,,
centeno,,,9,136.3,138.1,137.1,99.3,,9,388.5,251.3,388.5,154.6,apio,,,5,1.9,2.0,1.9,93.0,,5,94.7,114.9,107.9,93.9,,,,,,,,,,,,,,
triticale,,,9,213.1,250.8,257.6,102.7,,9,649.0,576.5,763.2,132.4,pepino,,,3,7.5,7.4,7.4,99.4,,6,643.6,739.2,804.2,108.8,LEGUMINOSAS GRANO,,,,,,,,,,,,,
cereales otoño invierno,,,,"5,536.8","5,454.2","5,576.4",102.2,,,"19,639.7","14,834.8","21,342.3",143.9,pepinillo (9),,,6,0.4,0.3,0.3,100.0,,11,0.0,0.0,0.0,116.7,habas secas,,,11,22.1,21.4,19.8,92.7,,8,23.5,34.5,,
maíz,,,7,322.4,356.8,347.6,97.4,,11,"3,842.5","4,184.5","4,129.9",98.7,berenjena,,,4,3.6,3.5,3.9,113.6,,8,238.3,245.1,282.0,115.0,guisantes secos,,,11,145.4,119.7,123.7,103.3,,8,160.1,227.3,,
sorgo,,,11,6.0,6.6,5.7,86.9,,11,25.6,25.1,24.7,98.1,calabaza,,,5,4.1,4.1,4.3,105.6,,11,121.3,129.1,151.2,117.1,veza,,,11,78.1,83.1,87.1,104.8,,8,62.5,122.9,,
arroz (2),,,11,105.0,103.4,102.0,98.7,,11,808.2,787.8,783.4,99.4,calabacín,,,5,11.1,10.9,11.1,102.6,,10,596.3,605.5,599.7,99.0,altramuz dulce,,,11,2.4,2.0,1.5,73.1,,8,1.7,1.9,,
,,,,,,,,,,,,,,zanahoria,,,5,6.6,6.7,7.0,104.6,,9,382.4,384.3,407.9,106.1,yeros,,,11,43.1,43.2,47.9,111.0,,8,31.5,63.7,,
LEGUMINOSAS GRANO,,,,,,,,,,,,,,nabo (10),,,3,6.3,5.9,5.2,88.1,,5,65.7,61.4,79.8,130.0,,,,,,,,,,,,,,
judías secas,,,11,9.3,9.3,9.4,100.5,,11,17.1,14.6,17.6,120.3,rábano (9),,,3,23.3,21.2,21.8,102.8,,6,4.2,3.9,4.0,102.2,TUBÉRCULOS,,,,,,,,,,,,,
habas secas,,,8,23.2,22.1,21.4,97.0,,8,34.8,23.5,34.5,147.0,puerro,,,11,2.8,2.9,2.9,100.4,,3,81.6,80.3,87.0,108.4,patata extratemprana,,,11,3.6,3.6,3.6,98.5,,4,84.4,88.5,,
lentejas,,,8,44.1,50.3,36.6,72.8,,8,42.8,35.3,46.4,131.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
garbanzos,,,8,70.6,53.2,38.2,71.8,,8,91.5,50.0,45.1,90.3,CÍTRICOS,,,,,,,,,,,,,,CULTIVOS INDUSTRIALES,,,,,,,,,,,,,
guisantes secos,,,8,149.0,145.4,119.7,82.3,,8,262.6,160.1,227.3,142.0,naranja dulce,,,,,,,,,11,"3,930.4","3,279.5","3,323.1",101.3,remolacha azucarera (r. verano),,,11,6.3,6.8,7.9,116.2,,9,480.9,599.0,,
veza,,,8,103.1,78.1,83.1,106.4,,8,135.6,62.5,122.9,196.8,limón,,,,,,,,,11,"1,148.6",931.1,"1,063.0",114.2,colza,,,11,70.3,71.8,74.0,103.0,,7,144.0,201.1,,
altramuz dulce,,,8,3.0,2.4,2.0,83.7,,8,2.8,1.7,1.9,113.9,pomelo,,,,,,,,,10,80.6,70.6,79.7,112.9,,,,,,,,,,,,,,
yeros,,,8,54.9,43.1,43.2,100.1,,8,63.1,31.5,63.7,202.3,satsumas,,,,,,,,,10,205.3,144.5,155.4,107.5,HORTALIZAS,,,,,,,,,,,,,
,,,,,,,,,,,,,,clementinas,,,,,,,,,10,"1,533.6",949.8,"1,369.7",144.2,tomate (rec. 1-i/31-v),,,11,10.4,10.5,10.5,99.6,,5,894.6,792.5,,
TUBÉRCULOS,,,,,,,,,,,,,,híbridos (mandarina),,,,,,,,,3,646.1,737.7,,,fresa y fresón,,,11,7.3,6.8,7.1,104.4,,8,352.0,271.5,,
patata extratemprana,,,4,3.6,3.6,3.6,100.5,,4,76.0,84.4,88.5,104.9,mandarina total (11),,,,,,,,,,"2,385.0","1,831.9","1,525.1",83.3,cebolla babosa,,,11,4.5,4.6,4.6,101.4,,8,221.2,180.5,,
patata temprana,,,6,14.4,13.9,14.1,101.6,,6,392.7,434.2,440.0,101.3,,,,,,,,,,,,,,,champiñón,,,11,0.3,0.4,0.4,99.8,,10,151.8,148.4,148.9,100.3
patata media estación,,,9,29.9,29.6,31.7,107.4,,9,818.4,917.1,941.9,102.7,FRUTALES,,,,,,,,,,,,,,otras setas,,,11,0.1,0.1,0.1,105.8,,10,18.3,16.9,17.2,101.7
patata tardía,,,11,19.6,19.6,17.8,91.0,,11,723.9,823.6,672.8,81.7,manzana sidra,,,,,,,,,11,79.3,82.4,90.5,109.8,apio,,,9,2.0,1.9,1.9,104.5,,11,114.9,107.9,112.8,104.5
patata total,,,11,67.5,66.7,67.3,101.0,,11,"2,010.9","2,259.3","2,143.5",94.9,manzana de mesa,,,,,,,,,11,483.6,556.4,503.4,90.5,berenjena,,,11,3.5,3.9,3.5,88.3,,8,245.1,282.0,,
,,,,,,,,,,,,,,manzana total,,,,,,,,,,563.0,638.8,593.9,93.0,zanahoria,,,11,6.7,7.0,,,,11,384.3,407.9,,
CULTIVOS INDUSTRIALES,,,,,,,,,,,,,,pera total,,,,,,,,,11,332.3,330.7,318.6,96.3,puerro,,,11,2.9,2.9,2.6,90.9,,9,80.3,87.0,73.4,84.4
remolacha azucarera (r. verano),,,9,7.6,6.3,6.8,107.7,,9,699.3,480.9,599.0,124.6,albaricoque,,,,,,,,,11,176.3,145.8,132.4,90.8,,,,,,,,,,,,,,
remolacha azucarera (r. invierno),,,9,27.7,23.9,19.8,82.8,,9,"2,170.9","2,271.8","1,888.7",83.1,cereza y guinda,,,,,,,,,11,107.0,118.8,102.3,86.2,,,,,,,,,,,,,,
remolacha total,,,,35.3,30.2,26.6,88.0,,,"2,870.3","2,752.7","2,487.8",90.4,melocotón (12),,,,,,,,,9,903.8,937.2,793.4,84.7,,,,,,,,,,,,,,
algodón (3),,,7,65.1,66.1,61.6,93.2,,11,194.5,210.0,190.7,90.8,ciruela,,,,,,,,,11,153.0,179.8,158.6,88.2,,,,,,,,,,,,,,
girasol,,,11,691.3,701.8,651.2,92.8,,11,950.3,773.8,878.2,113.5,plátano,,,,,,,,,11,386.2,398.7,417.2,104.6,,,,,,,,,,,,,,
soja,,,11,1.5,1.6,1.4,89.5,,11,4.2,5.1,4.2,83.1,higo,,,,,,,,,10,47.8,51.6,51.3,99.4,,,,,,,,,,,,,,
colza,,,7,78.4,70.3,71.8,102.2,,7,175.2,144.0,201.1,139.7,kiwi,,,,,,,,,11,23.8,24.5,23.9,97.6,,,,,,,,,,,,,,
tabaco (4),,,10,8.5,8.7,8.1,93.9,,11,26.0,27.8,26.5,95.3,aguacate,,,,,,,,,11,89.6,97.7,111.9,114.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,nectarina,,,,,,,,,10,547.1,605.1,472.6,78.1,,,,,,,,,,,,,,
CULTIVOS FORRAJEROS,,,,,,,,,,,,,,nuez (13),,,,,,,,,11,15.2,17.5,14.3,81.5,,,,,,,,,,,,,,
maíz forrajero (5),,,11,107.3,116.5,108.7,93.3,,11,"4,055.5","4,120.4","4,011.0",97.3,castaña,,,,,,,,,11,184.8,188.9,119.8,63.4,,,,,,,,,,,,,,
alfalfa (5),,,11,260.3,259.3,254.6,98.2,,11,"9,900.8","9,093.9","9,779.4",107.5,frambuesa,,,,,,,,,6,43.7,60.0,49.8,82.9,,,,,,,,,,,,,,
veza para forraje (5),,,11,143.6,151.4,150.6,99.5,,11,"2,139.4","1,413.9","2,257.4",159.7,almendra (13),,,,,,,,,11,339.0,340.4,353.7,103.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,avellana (13),,,,,,,,,11,8.0,12.4,5.2,42.3,,,,,,,,,,,,,,
HORTALIZAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
col repollo total,,,11,4.4,4.5,5.9,132.4,,11,153.8,164.0,202.7,123.6,VIÑEDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
espárrago,,,7,14.7,13.4,14.5,108.5,,7,68.4,58.6,68.7,117.3,uva de mesa,,,,,,,,,11,272.8,331.5,297.8,89.8,,,,,,,,,,,,,,
lechuga total,,,11,33.7,35.2,34.4,97.7,,11,934.7,"1,004.7",993.4,98.9,uva vinificación (16),,,,,,,,,11,"6,595.2","5,092.2","5,564.9",109.3,,,,,,,,,,,,,,
sandía,,,11,20.4,21.5,21.9,102.0,,11,"1,092.4","1,200.1","1,244.2",103.7,vino + mosto (14),,,,,,,,,11,"50,355.4","37,728.3","43,566.1",115.5,,,,,,,,,,,,,,
melón,,,11,19.0,19.7,18.5,94.0,,11,664.4,660.2,613.5,92.9,uva pasa (15),,,,,,,,,11,0.9,0.8,1.0,120.0,,,,,,,,,,,,,,
tomate (rec. 1-i/31-v),,,5,11.3,10.4,10.5,101.6,,5,991.8,894.6,792.5,88.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomate (rec. 1-vi/30-ix),,,9,40.1,42.2,42.0,99.6,,9,"3,336.1","3,698.7","3,080.5",83.3,OLIVAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomate (rec. 1-x/31xii),,,9,4.7,4.3,4.1,95.5,,11,440.6,407.3,365.7,89.8,aceituna de aderezo,,,,,,,,,11,601.3,470.4,632.1,134.4,,,,,,,,,,,,,,
tomate total,,,10,56.1,56.9,56.7,99.6,,10,"4,768.6","5,000.6","4,238.1",84.8,aceituna de almazara,,,,,,,,,11,"9,114.9","5,433.5","7,812.7",143.8,,,,,,,,,,,,,,
tomate conserva (6),,,6,34.2,33.8,33.3,98.6,,11,"2,698.7","3,205.0","2,485.4",77.5,aceite,,,,,,,,,11,"1,804.9","1,118.9","1,583.9",141.6,,,,,,,,,,,,,,
pimiento total (7),,,11,20.4,21.2,23.6,111.1,,11,"1,271.7","1,399.2","1,563.6",111.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pimiento conserva,,,7,2.8,2.5,2.4,94.2,,11,116.8,129.4,83.2,64.3,(9) La superficie se expresa en miles de áreas,,,,,,,,,,,,,,,,,,,,,,,,,,,
fresa y fresón,,,8,7.0,7.3,6.8,94.2,,8,344.7,352.0,271.5,77.1,(10) Incluye los grelos pero no el nabo forrajero,,,,,,,,,,,,,,,,,,,,,,,,,,,
alcachofa,,,8,15.2,14.9,15.7,105.2,,11,195.6,206.5,209.9,101.6,"(11) Satsumas, Clementinas e Híbridos de mandarina",,,,,,,,,,,,,,,,,,,,,,,,,,,
coliflor,,,11,7.7,8.3,7.9,95.7,,11,187.9,196.5,191.3,97.4,"(12) Incluye el paraguayo o ""melocotón plano"" y las ""pavías"", pero no las nectarinas",,,,,,,,,,,,,,,,,,,,,,,,,,,
ajo,,,8,28.4,27.3,27.6,100.8,,8,273.5,271.4,272.8,100.5,"(13) Los datos se dan con cáscara, no en grano. Coeficientes de conversión, según variedades: Almendra y Nuez: 3´3 - 4 , Avellana: 2 - 2´3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
cebolla babosa,,,8,3.6,4.5,4.6,100.4,,8,178.4,221.2,180.5,81.6,"(14) Producción total de Vino y Mosto en miles de Hectolitros. Incluye a los pequeños productores (autoconsumo) y los mostos concentrados convertidos a mosto natural,",,,,,,,,,,,,,,,,,,,,,,,,,,,
cebolla grano y medio grano,,,10,13.0,13.5,12.5,92.5,,10,772.4,856.0,738.6,86.3,     con coeficiente 3´5,,,,,,,,,,,,,,,,,,,,,,,,,,,
otras cebollas,,,11,7.1,7.9,7.4,93.7,,11,322.0,366.0,340.0,92.9,"(15) Producción de uva, no de pasa",,,,,,,,,,,,,,,,,,,,,,,,,,,
cebolla total,,,11,23.8,25.9,24.4,94.3,,11,"1,272.9","1,443.2","1,259.1",87.2,(16) Datos de entrada de uva en bodega. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
judías verdes,,,11,7.9,7.5,7.9,105.0,,11,138.9,143.3,157.1,109.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guisantes verdes (8),,,6,13.8,16.7,15.9,95.4,,6,109.3,127.0,118.4,93.3,Nota: Madrid sin actualizar información por falta de envío de datos por parte de la comunidad autónoma,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1) Mes al que corresponde la última estimación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2) Arroz cáscara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3) Producción bruta para fibra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(4) Tabaco seco no fermentado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(5) Producción en verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(6) Incluido en el tomate ""de verano"" (rec. 1-vi/30-ix)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(7) Incluye el de conserva y el destinado a pimentón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(8) Con vaina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Para cualquier acción que desee realizar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pulse siempre este botón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
